IRRI seed bank ID,SRA accession,Group,New SRA
IRGC 117429,ERS6595826,indica,ERR6050643
IRGC 117429,ERS6595606,indica,ERR6050423
IRGC 117429,ERS6595716,indica,ERR6050533
IRGC 117459,ERS6595767,indica,ERR6050584
IRGC 117459,ERS6595657,indica,ERR6050474
IRGC 117459,ERS6595546,indica,ERR6050364
IRGC 117545,ERS6595771,indica,ERR6050588
IRGC 117545,ERS6595661,indica,ERR6050478
IRGC 117545,ERS6595550,indica,ERR6050368
IRGC 120851,ERS6595768,indica,ERR6050585
IRGC 120851,ERS6595547,indica,ERR6050365
IRGC 120851,ERS6595658,indica,ERR6050475
IRGC 120893,ERS6595578,indica,ERR6050396
IRGC 120893,ERS6595799,indica,ERR6050616
IRGC 120893,ERS6595689,indica,ERR6050506
IRGC 120934,ERS6595728,indica,ERR6050545
IRGC 120934,ERS6595618,indica,ERR6050435
IRGC 120934,ERS6595507,indica,ERR6050325
IRGC 120935,ERS6595520,indica,ERR6050338
IRGC 120935,ERS6595631,indica,ERR6050448
IRGC 120935,ERS6595741,indica,ERR6050558
IRGC 120953,ERS6595719,indica,ERR6050536
IRGC 120953,ERS6595609,indica,ERR6050426
IRGC 120953,ERS6595829,indica,ERR6050646
IRGC 120961,ERS6595674,indica,ERR6050491
IRGC 120961,ERS6595784,indica,ERR6050601
IRGC 120961,ERS6595563,indica,ERR6050381
IRGC 120969,ERS6595676,indica,ERR6050493
IRGC 120969,ERS6595565,indica,ERR6050383
IRGC 120969,ERS6595786,indica,ERR6050603
IRGC 120971,ERS6595678,indica,ERR6050495
IRGC 120971,ERS6595567,indica,ERR6050385
IRGC 120971,ERS6595788,indica,ERR6050605
IRGC 120972,ERS6595605,indica,ERR6050422
IRGC 120972,ERS6595715,indica,ERR6050532
IRGC 120972,ERS6595825,indica,ERR6050642
IRGC 120974,ERS6595619,indica,ERR6050436
IRGC 120974,ERS6595508,indica,ERR6050326
IRGC 120974,ERS6595729,indica,ERR6050546
IRGC 120976,ERS6595543,indica,ERR6050361
IRGC 120976,ERS6595764,indica,ERR6050581
IRGC 120976,ERS6595654,indica,ERR6050471
IRGC 120977,ERS6595514,indica,ERR6050332
IRGC 120977,ERS6595735,indica,ERR6050552
IRGC 120977,ERS6595625,indica,ERR6050442
IRGC 120978,ERS6595794,indica,ERR6050611
IRGC 120978,ERS6595684,indica,ERR6050501
IRGC 120978,ERS6595573,indica,ERR6050391
IRGC 120984,ERS6595693,indica,ERR6050510
IRGC 120984,ERS6595582,indica,ERR6050400
IRGC 120984,ERS6595803,indica,ERR6050620
IRGC 120999,ERS6595734,indica,ERR6050551
IRGC 120999,ERS6595624,indica,ERR6050441
IRGC 120999,ERS6595513,indica,ERR6050331
IRGC 121007,ERS6595584,indica,ERR6050402
IRGC 121007,ERS6595805,indica,ERR6050622
IRGC 121007,ERS6595695,indica,ERR6050512
IRGC 121046,ERS6595555,indica,ERR6050373
IRGC 121046,ERS6595776,indica,ERR6050593
IRGC 121046,ERS6595666,indica,ERR6050483
IRGC 121055,ERS6595580,indica,ERR6050398
IRGC 121055,ERS6595801,indica,ERR6050618
IRGC 121055,ERS6595691,indica,ERR6050508
IRGC 121060,ERS6595570,indica,ERR6050388
IRGC 121060,ERS6595681,indica,ERR6050498
IRGC 121060,ERS6595791,indica,ERR6050608
IRGC 121071,ERS6595761,indica,ERR6050578
IRGC 121071,ERS6595540,indica,ERR6050358
IRGC 121071,ERS6595651,indica,ERR6050468
IRGC 121076,ERS6595809,indica,ERR6050626
IRGC 121076,ERS6595699,indica,ERR6050516
IRGC 121076,ERS6595589,indica,ERR6050406
IRGC 121078,ERS6595804,indica,ERR6050621
IRGC 121078,ERS6595583,indica,ERR6050401
IRGC 121078,ERS6595694,indica,ERR6050511
IRGC 121085,ERS6595601,indica,ERR6050418
IRGC 121085,ERS6595821,indica,ERR6050638
IRGC 121085,ERS6595711,indica,ERR6050528
IRGC 121094,ERS6595548,indica,ERR6050366
IRGC 121094,ERS6595769,indica,ERR6050586
IRGC 121094,ERS6595659,indica,ERR6050476
IRGC 121099,ERS6595642,indica,ERR6050459
IRGC 121099,ERS6595752,indica,ERR6050569
IRGC 121099,ERS6595531,indica,ERR6050349
IRGC 121156,ERS6595541,indica,ERR6050359
IRGC 121156,ERS6595652,indica,ERR6050469
IRGC 121156,ERS6595762,indica,ERR6050579
IRGC 121158,ERS6595685,indica,ERR6050502
IRGC 121158,ERS6595795,indica,ERR6050612
