scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Agrobacterium sp.,ERS6626984,uncultured_Agrobacterium_sp._ERS6626984.fasta,157277,uncultured_Agrobacterium_sp._ERS6626984
uncultured Spirosoma sp.,ERS6626983,uncultured_Spirosoma_sp._ERS6626983.fasta,278208,uncultured_Spirosoma_sp._ERS6626983
uncultured Paenibacillus sp.,ERS6626844,uncultured_Paenibacillus_sp._ERS6626844.fasta,227322,uncultured_Paenibacillus_sp._ERS6626844
uncultured Spirosoma sp.,ERS6626982,uncultured_Spirosoma_sp._ERS6626982.fasta,278208,uncultured_Spirosoma_sp._ERS6626982
uncultured Mucilaginibacter sp.,ERS6626962,uncultured_Mucilaginibacter_sp._ERS6626962.fasta,797541,uncultured_Mucilaginibacter_sp._ERS6626962
uncultured Exiguobacterium sp.,ERS6626773,uncultured_Exiguobacterium_sp._ERS6626773.fasta,202669,uncultured_Exiguobacterium_sp._ERS6626773
uncultured Chryseobacterium sp.,ERS6626928,uncultured_Chryseobacterium_sp._ERS6626928.fasta,259322,uncultured_Chryseobacterium_sp._ERS6626928
uncultured Naasia sp.,ERS6626864,uncultured_Naasia_sp._ERS6626864.fasta,1805779,uncultured_Naasia_sp._ERS6626864
uncultured Chryseobacterium sp.,ERS6626863,uncultured_Chryseobacterium_sp._ERS6626863.fasta,259322,uncultured_Chryseobacterium_sp._ERS6626863
uncultured Hymenobacter sp.,ERS6626935,uncultured_Hymenobacter_sp._ERS6626935.fasta,170016,uncultured_Hymenobacter_sp._ERS6626935
uncultured Curtobacterium sp.,ERS6626897,uncultured_Curtobacterium_sp._ERS6626897.fasta,331964,uncultured_Curtobacterium_sp._ERS6626897
uncultured Curtobacterium sp.,ERS6626875,uncultured_Curtobacterium_sp._ERS6626875.fasta,331964,uncultured_Curtobacterium_sp._ERS6626875
uncultured Devosia sp.,ERS6626765,uncultured_Devosia_sp._ERS6626765.fasta,211434,uncultured_Devosia_sp._ERS6626765
uncultured Paenibacillus sp.,ERS6626896,uncultured_Paenibacillus_sp._ERS6626896.fasta,227322,uncultured_Paenibacillus_sp._ERS6626896
